issn,member,created_date
2044-8201,56,2019-04-27
1984-2538,12060,2021-08-19
1975-0218,19110,2021-07-26
0352-3020,2363,2021-08-12
2622-6901,26651,2021-09-21
1611-7867,194,2017-08-09
2580-2291,10681,2021-07-03
2655-2094,18446,2021-07-03
2575-5501,6441,2018-02-02
0000-0000,17,2007-06-26
1759-7145,358,2021-03-16
2346-5581,5007,2021-07-01
2707-4986,22440,2020-12-29
1559-2936,1560,2013-08-02
2415-1297,3460,2021-04-23
2685-1334,5548,2021-02-22
2347-6192,4035,2019-08-12
2044-2084,140,2014-11-16
1548-6583,6863,2021-07-23
2311-2581,22520,2021-11-11
2664-5947,6225,2021-08-11
2346-0806,8714,2021-06-22
1383-8601,297,2019-07-19
1907-8420,21752,2021-12-12
1414-8609,5117,2021-11-16
1740-5556,179,2021-10-20
1573-8310,297,2021-11-16
2194-7244,297,2020-07-09
2271-6149,2399,2021-11-19
2194-671X,297,2021-09-24
2158-0537,793,2021-09-16
2310-2993,5545,2021-02-19
1758-437X,286,2021-11-05
2411-9148,7834,2021-06-11
2549-4155,8668,2021-12-25
2577-2279,5410,2021-05-20
1278-3986,2273,2021-06-03
1861-1370,297,2019-12-02
1994-7941,2297,2021-10-21
2317-8361,5117,2018-07-10
2312-6515,7761,2021-11-23
2224-5286,17339,2021-12-26
2186-506X,386,2021-12-12
0976-9757,3062,2019-06-04
1435-1935,311,2018-08-05
1755-0807,735,2021-11-25
1226-3923,5764,2019-06-11
1829-9237,11035,2020-12-28
1533-2896,301,2016-02-19
2424-9238,219,2021-10-30
2329-3268,2751,2021-07-12
1425-6959,5876,2016-06-09
2527-6204,9483,2021-09-16
0974-8482,32346,2021-12-26
1811-8224,1525,2021-09-21
1965-0256,2273,2021-01-26
0221-0363,78,2012-07-21
1463-6646,140,2014-11-13
2657-6740,11423,2021-02-03
1350-2425,265,2006-11-21
0449-5233,2030,2021-08-02
1874-4079,965,2015-02-24
2443-3705,16282,2021-01-14
2432-3993,11166,2019-05-09
1009-9271,266,2013-12-11
0178-515X,297,2014-10-29
2586-1247,11145,2021-10-25
0943-9242,5471,2020-11-05
0120-0542,11187,2021-12-05
2521-2869,28604,2021-08-29
2185-6559,1038,2021-12-19
1673-355X,50,2011-11-17
1437-2053,297,2013-07-24
2170-1318,5068,2021-11-09
1534-1836,147,2021-08-08
2158-1592,311,2021-11-09
1110-6638,297,2018-11-22
2167-9118,8491,2021-04-09
2321-8649,6090,2021-10-19
1547-6529,301,2021-11-18
2518-1300,22072,2021-11-16
0216-3985,19264,2021-07-06
2198-0802,297,2021-12-25
1573-806X,3528,2019-10-30
2377-9381,3394,2018-12-30
1172-7039,297,2012-11-19
1673-7377,297,2010-11-13
1226-4822,5454,2021-11-01
2052-4919,426,2021-12-11
2356-4644,8114,2021-12-26
1687-9236,98,2012-12-30
1673-3460,297,2011-12-13
2373-7964,5372,2019-03-06
2382-3240,7600,2021-09-07
1440-1762,311,2019-04-05
2365-7693,374,2021-11-28
2703-030X,5471,2021-04-22
2588-0535,2258,2018-12-17
2652-0397,18111,2019-11-20
2046-9047,138,2015-09-25
2165-8056,2674,2019-01-18
1968-3758,2273,2021-01-26
1569-2086,50,2021-11-28
0013-8584,2673,2021-11-22
2509-3126,297,2021-09-13
1068-3666,1627,2021-10-27
2331-0146,4945,2021-09-13
2412-4265,10792,2021-06-15
2549-5054,12042,2020-02-14
2357-5328,8118,2021-11-03
2147-4478,8429,2021-11-22
1884-3883,3938,2021-08-30
2193-7656,297,2021-10-18
2414-6633,9412,2021-12-25
2615-0913,23637,2021-10-25
1841-0715,16920,2021-07-03
0065-2377,78,2021-12-04
2521-0807,2581,2021-11-13
1884-4359,3623,2021-11-16
2042-4884,3010,2014-03-25
1992-5786,18186,2021-11-05
1593-7879,297,2021-11-24
2300-1895,374,2017-12-14
0126-012X,5548,2021-09-16
2042-8898,175,2020-12-11
2164-5280,2751,2021-10-09
1950-6899,2273,2021-01-23
1598-6160,6507,2021-09-15
1598-6322,25190,2021-10-26
0123-1154,4832,2021-09-01
2007-4085,28308,2021-07-28
2006-9839,3908,2021-07-27
0324-7309,425,2021-07-31
2536-9792,9060,2021-11-15
2052-0204,358,2021-08-20
2542-5366,50,2021-08-10
2080-4555,5855,2021-02-02
2278-3318,4420,2021-01-04
1874-9178,965,2015-07-03
2087-2534,10094,2021-11-09
2222-0364,28215,2021-10-07
0379-0312,311,2016-02-25
1951-0187,2273,2020-07-15
1614-5216,297,2017-12-21
1176-6344,301,2008-07-10
1052-0147,12689,2021-06-01
0040-585X,351,2021-11-02
2161-0959,2674,2019-01-31
1687-6997,2581,2019-12-17
2615-6156,9984,2021-12-05
1979-0902,9726,2020-08-01
0104-6098,4873,2021-10-25
2355-4339,6205,2021-07-03
2213-6126,297,2016-11-25
1614-8754,194,2017-08-09
2355-7710,10334,2020-12-23
2337-5310,8620,2021-11-21
2349-1515,5923,2017-07-24
2637-5451,301,2021-06-30
2424-0990,3408,2021-05-31
2325-6540,301,2021-09-09
1229-9456,6784,2020-02-19
2617-4154,18796,2021-09-29
0929-0591,297,2013-07-15
0924-4530,297,2013-11-20
2637-4021,11480,2021-11-23
0140-6701,78,2021-12-11
2224-0012,3820,2021-09-22
0047-2379,179,2021-10-29
2600-8181,9745,2020-12-16
1557-931X,301,2021-09-28
0313-122X,7499,2021-08-02
2775-6165,21642,2021-12-04
2395-6542,6140,2020-11-24
2372-4870,6329,2021-08-26
2645-5404,16572,2021-10-04
1049-5142,301,2021-10-17
1226-0134,5650,2021-11-09
2152-8756,5908,2020-05-02
2722-5674,26770,2021-11-25
2693-1982,2271,2021-04-23
2219-3782,4570,2021-10-18
2325-6893,147,2021-12-05
2686-0198,23102,2021-05-31
2185-4688,1038,2021-09-29
1663-4144,2457,2021-11-10
2412-8767,6550,2021-03-29
1265-6534,2207,2008-11-09
2210-2116,1757,2021-10-12
2364-2254,297,2020-10-29
1750-0192,1931,2021-09-29
2308-7234,6114,2021-10-12
2774-5856,23746,2021-08-09
2066-8201,5259,2021-12-05
2509-6559,297,2021-07-26
2424-922X,219,2021-10-30
2221-6928,25496,2021-03-24
2197-7399,297,2021-09-23
1884-5827,3071,2021-10-12
1600-0692,311,2019-04-06
2470-8593,301,2017-11-30
2637-6229,10894,2021-10-05
2715-9124,22916,2021-08-21
1460-3780,297,2021-10-26
2413-3256,27517,2021-09-02
2108-6648,2273,2021-01-27
0076-9924,297,2016-08-09
1542-4375,252,2021-01-05
2310-9440,5853,2018-02-22
2391-8616,7224,2018-08-29
1758-9983,179,2021-11-05
1287-7352,2273,2014-12-19
1533-2748,301,2021-08-06
2163-0429,2751,2021-11-23
0737-7851,260,2011-09-25
2415-038X,9073,2021-12-19
0009-1774,1560,2021-10-01
1612-3212,297,2021-03-15
0216-6887,5236,2016-03-05
2615-1278,11853,2021-06-06
2156-7018,17,2021-08-31
1569-9838,1757,2021-10-08
1980-6493,8251,2021-09-24
2073-5561,16194,2021-07-28
2667-8225,20681,2019-11-23
2168-1678,15,2018-11-01
1859-378X,9002,2021-09-12
1339-3057,5808,2021-11-16
2348-8875,22072,2021-11-16
0868-4731,1761,2021-12-26
1741-8496,378,2021-11-27
0137-6136,7349,2021-11-25
1874-4761,965,2019-07-25
1558-0911,301,2021-10-21
2619-2551,17131,2021-11-10
1742-4275,378,2021-09-08
0003-0031,1249,2021-10-18
0216-7743,11821,2018-08-28
0915-5651,1556,2021-09-26
1993-5668,1963,2021-02-20
1814-3520,8805,2021-11-09
2175-2753,9615,2021-10-04
1467-9612,311,2021-11-22
1027-4820,250,2018-01-22
1067-2249,7822,2021-04-14
1094-5458,278,2011-03-10
0883-7597,260,2008-02-19
0732-9393,1247,2015-06-05
2199-9112,297,2017-07-15
1751-8822,265,2021-12-25
2149-1984,29501,2021-08-25
2241-7214,4964,2019-05-17
2789-3219,32268,2021-12-25
2460-9234,8721,2019-03-22
0972-8090,25541,2021-09-02
1870-0713,24097,2021-01-10
2539-3987,23310,2020-01-21
1226-9980,8492,2021-10-12
2588-6290,28750,2021-07-10
2076-6033,21206,2021-01-11
1682-6108,301,2017-07-14
2620-9276,8620,2020-04-11
2627-101X,297,2021-11-17
1571-3083,297,2020-03-30
0567-8293,5727,2021-08-02
2071-4122,3029,2020-10-29
1734-1833,1745,2019-06-11
2375-4389,2674,2019-01-19
0855-0328,2895,2017-10-13
2345-184X,19313,2021-11-23
2413-7219,9869,2021-10-13
2256-5779,8118,2021-09-02
2158-8678,17,2012-12-18
2314-5803,98,2016-01-24
0038-7479,896,2010-06-04
0372-8854,181,2021-11-11
2002-8008,6393,2021-06-14
2687-6442,3111,2021-06-24
2448-5144,11889,2021-05-17
2071-8748,3356,2021-04-14
2675-8431,28571,2021-01-11
2091-0916,1670,2021-04-02
2458-7508,11831,2021-12-11
2033-5385,7597,2021-11-16
0137-6365,374,2021-06-29
2302-3686,8620,2021-10-15
1474-6514,179,2018-11-09
2514-9326,140,2021-10-26
1884-5649,3585,2017-01-26
0453-8811,137,2019-11-22
2549-7464,10124,2020-10-01
1680-8398,10048,2021-09-16
1873-9857,50,2021-10-29
1932-8575,200,2021-11-12
1993-2979,1670,2021-06-07
1477-285X,50,2021-11-21
2663-1164,18152,2021-09-21
1568-2706,1757,2020-05-29
1976-6467,26288,2021-08-12
2286-0428,374,2021-01-13
2073-3046,16761,2021-11-06
1738-3692,3343,2017-08-11
1754-8519,1931,2021-10-28
1816-7950,6689,2021-10-28
1760-7760,2399,2021-11-24
0553-4569,8158,2020-10-26
1226-0959,5886,2021-10-18
2326-0823,56,2020-05-13
2685-9475,29126,2021-08-19
2179-7064,21381,2021-10-08
1805-3238,16259,2021-07-22
2048-0601,28850,2021-07-08
2014-5039,10654,2021-02-27
1940-9141,301,2016-09-02
1528-4980,320,2021-09-21
1750-6689,5245,2021-01-20
1042-8232,260,2014-10-08
2522-5332,297,2021-08-31
1940-7807,1310,2020-02-20
1557-4571,2297,2021-05-11
2079-5807,1963,2010-06-01
2049-6745,378,2021-10-06
0973-0621,179,2021-12-25
2622-2191,17904,2020-09-14
1999-0111,1963,2020-09-16
1064-122X,301,2017-10-31
1614-7839,297,2021-11-26
2078-9025,27410,2021-10-14
1868-8888,374,2020-12-14
2674-6417,4028,2021-10-21
2456-2912,9531,2021-06-14
2466-4308,10041,2021-07-12
2496-4212,2399,2021-07-10
1808-7035,5321,2021-02-11
1300-0012,5966,2021-11-04
0933-3630,78,2005-09-16
2332-2608,2674,2019-02-01
2381-9170,10954,2021-10-28
2526-026X,11208,2021-08-21
2096-6695,16080,2021-07-30
0253-2700,2026,2010-09-15
2213-0209,78,2019-12-10
2476-2253,2674,2018-09-18
2007-8854,6072,2016-04-28
1661-9897,2457,2021-10-25
0718-560X,1073,2021-09-07
2442-5451,8558,2017-04-20
2330-5029,147,2021-06-20
1569-9811,1757,2021-11-15
1809-8207,3843,2021-11-18
2411-9652,9117,2016-12-19
2386-3137,7798,2021-11-26
1874-2971,965,2021-06-03
2477-815X,11853,2021-09-01
1300-3550,3111,2015-09-29
1571-5671,297,2013-03-11
2745-4479,12209,2021-05-01
2077-6764,6743,2021-11-19
2527-7014,9292,2021-11-22
1541-5015,5033,2019-10-12
1569-1829,8859,2016-12-08
1411-2949,20655,2021-09-08
2277-4203,2914,2021-02-23
2301-5810,9727,2020-10-01
2656-3940,11853,2021-06-01
1934-8290,311,2020-12-28
2319-5592,11582,2020-12-21
0942-4822,2030,2016-05-01
2173-1306,2399,2021-11-26
2288-7172,4670,2020-03-24
1806-4892,4568,2021-10-05
2541-108X,8629,2021-09-15
0392-4556,7597,2021-07-16
1738-415X,16312,2021-10-27
2414-4436,18856,2021-02-08
1347-0558,1161,2021-07-28
1871-191X,50,2021-11-23
0378-4738,6689,2019-07-29
2310-3833,6689,2021-10-05
0962-1849,78,2012-05-17
1989-6328,24483,2021-02-01
2573-1483,9401,2021-07-03
2542-0151,5638,2021-10-21
2346-8904,10308,2021-11-16
1741-0533,56,2012-12-14
1759-670X,301,2021-09-04
1229-8719,2224,2011-07-14
2327-0373,2432,2021-10-19
1756-7149,378,2021-12-19
1816-4935,2297,2021-02-08
2746-699X,23507,2020-11-19
2703-0237,5471,2017-10-03
1680-0044,16542,2021-03-19
2347-3983,11985,2021-12-12
0042-5702,374,2021-10-02
1532-6306,1721,2014-05-28
2656-629X,22745,2021-10-04
0976-2221,3062,2021-12-11
1973-9664,2636,2014-09-11
2425-1941,2399,2021-06-24
1998-8613,7088,2021-11-18
2621-3354,22804,2020-02-15
2314-5013,98,2019-03-10
2415-8798,4871,2019-08-08
2590-2865,5920,2021-11-23
1811-0932,7284,2021-10-10
2524-3780,297,2021-04-01
2554-3555,2273,2020-11-06
2074-0565,6225,2021-06-23
2746-1335,27635,2021-11-23
1319-1624,5068,2017-07-30
1230-8323,3061,2017-07-15
2219-9381,3356,2021-11-19
2512-689X,10770,2018-03-02
1226-5535,24690,2021-10-25
2509-6001,297,2020-03-03
2367-1092,297,2021-07-10
1253-9708,2399,2021-07-14
1226-8038,4525,2017-04-24
2089-4716,25822,2021-10-05
1335-8421,374,2021-04-07
2073-9788,17119,2021-05-17
1122-6838,4169,2021-06-24
0265-9484,311,2021-11-08
1944-2904,301,2021-08-19
2090-939X,98,2017-12-10
2500-1728,8790,2021-10-09
2153-0696,2297,2021-02-23
2631-2484,17483,2021-10-01
1941-1278,301,2021-09-08
2349-4182,9531,2020-04-16
2345-2250,7770,2021-12-12
0918-9599,330,2021-08-31
1505-4675,16792,2021-12-12
2447-3308,3785,2018-01-18
0196-3570,147,2019-07-01
1541-4450,1320,2014-08-15
1550-297X,3361,2021-07-16
2146-832X,3407,2020-05-26
2414-4649,9145,2021-10-14
2656-6230,10706,2020-09-30
0393-4683,3444,2016-01-15
2663-8886,25512,2020-10-01
2526-432X,9858,2021-10-02
1048-9053,5741,2021-08-27
2168-0817,263,2017-11-13
2314-8225,98,2016-07-31
0895-8815,297,2010-04-23
1822-6515,3786,2015-12-23
1793-1355,219,2020-12-03
1999-7361,1861,2021-02-16
1937-1888,5950,2021-11-22
0213-9626,78,2014-10-27
2118-8572,3842,2021-09-10
2415-6248,22072,2021-11-16
2363-7641,297,2021-08-31
0885-3339,140,2019-07-10
2036-7376,2549,2015-01-14
2305-7076,2725,2019-02-19
1884-7072,4018,2012-01-24
2414-5629,10007,2021-01-27
2187-6223,7357,2016-02-25
2468-399X,297,2021-09-28
0048-7325,17306,2020-11-18
0147-1775,301,2007-07-26
2714-4674,27584,2021-03-06
2519-2558,10892,2020-10-27
2174-4025,6027,2021-07-01
2586-3886,16047,2021-10-06
2222-582X,301,2021-11-12
1833-5233,8742,2020-03-30
1139-6660,6226,2021-02-26
2569-717X,297,2021-04-07
0270-5117,297,2013-05-30
2533-2929,6494,2021-10-15
1979-9438,21004,2019-06-01
2379-9536,19135,2021-10-29
1845-5719,3537,2021-11-25
2717-6630,3570,2021-01-17
1745-4557,311,2016-02-25
1881-655X,3953,2021-10-15
2509-7970,297,2021-11-02
2394-2703,5576,2021-09-30
2264-2595,2273,2020-12-05
2384-1397,2921,2021-10-07
2565-9006,7597,2020-12-18
2714-772X,19105,2020-08-05
2231-3567,4682,2013-02-16
2204-0552,301,2017-02-14
0950-7973,56,2010-05-10
0103-2070,530,2015-05-14
2340-2776,5067,2021-08-05
2196-4130,297,2021-11-06
1951-6231,2273,2020-11-21
2284-5968,7931,2020-12-10
0120-4688,10728,2021-09-13
2292-1648,7228,2020-12-04
2040-0721,378,2021-10-06
2215-1885,1574,2016-10-20
0277-0326,78,2010-11-03
1708-6310,4194,2021-10-14
0372-1426,301,2021-11-22
1984-6444,4419,2021-10-04
2005-3231,11516,2021-11-09
2663-5666,18180,2021-10-04
1226-6280,2051,2017-06-23
2164-957X,179,2014-12-30
1229-8611,7006,2021-10-26
2689-5773,5410,2021-10-28
1210-3195,374,2021-01-24
0271-8057,297,2006-04-10
2322-3960,11790,2020-03-02
0937-3195,297,2013-03-11
2614-7017,16966,2021-06-08
0857-4421,140,2021-08-23
2549-5011,5959,2021-03-08
2689-761X,22720,2020-11-22
2514-4820,3285,2021-11-10
2373-146X,9829,2016-04-28
2194-007X,297,2014-01-02
1313-7050,6196,2017-09-21
2516-6328,5418,2019-06-07
2354-4147,11306,2021-07-02
2524-8588,297,2020-02-10
2054-7668,358,2021-10-22
2241-7206,4964,2021-04-22
1740-7885,301,2021-10-29
2549-8657,31173,2021-10-28
1313-9495,5147,2021-10-02
1993-503X,297,2021-10-24
2186-5094,4131,2021-03-30
1556-5300,17807,2021-10-27
2581-0901,8620,2020-07-29
2654-3877,10101,2021-09-28
2365-7154,7889,2018-03-28
2303-4564,5779,2017-09-22
2316-3100,5406,2021-11-22
2614-6983,20653,2021-06-18
2522-4433,18577,2021-11-01
2614-0993,12104,2021-04-18
2516-6247,219,2021-06-22
2184-3805,9208,2021-04-08
2671-6488,20286,2021-10-14
1996-0840,3908,2021-07-14
1848-9060,9884,2021-12-11
0300-1237,311,2019-04-05
1450-8176,24947,2021-10-04
1302-9304,8782,2021-09-20
0120-5927,8260,2021-10-06
2332-0702,2674,2019-02-27
2711-1318,17796,2021-10-21
2349-4336,21859,2021-10-14
2454-5872,8349,2021-11-17
2314-7857,98,2016-09-04
1559-7989,147,2013-10-06
2232-867X,4260,2020-06-15
0099-2399,276,2005-07-20
2590-0307,78,2021-12-25
2442-4404,10756,2021-08-18
0081-1696,861,2020-02-28
2314-7563,98,2017-08-09
1446-8123,3097,2020-09-22
0389-4304,78,2004-07-06
2527-4864,19132,2021-03-17
2178-2911,10019,2020-08-03
2321-7111,14882,2021-10-07
2667-6370,3111,2021-08-12
2615-9333,10698,2021-11-24
2685-824X,23560,2021-01-11
1765-3134,1762,2009-01-05
1439-1813,194,2019-01-24
2141-2839,2895,2021-11-17
2723-164X,29041,2021-04-30
2581-1002,10439,2021-04-05
2353-9836,3689,2021-08-13
2052-2894,5130,2017-12-24
2221-6189,5133,2017-07-07
0147-2496,200,2012-12-19
1551-1286,297,2013-05-25
2773-5664,16374,2021-09-30
2712-7656,24729,2021-11-20
2574-4151,1560,2020-07-29
1982-7806,5515,2021-10-29
2365-8142,2030,2021-08-24
2355-0058,25438,2020-06-25
1995-042X,9710,2018-01-26
2385-7021,3519,2021-11-02
1726-4634,7920,2021-10-26
2154-8676,8112,2019-10-01
1666-7719,5612,2021-05-04
2654-4458,15980,2021-11-20
2579-7190,20414,2020-12-01
0103-8559,11923,2021-10-14
1042-8143,78,2007-02-03
2705-3997,26339,2021-11-16
1871-2509,2902,2021-11-24
1880-487X,995,2021-09-30
2042-3470,378,2021-08-19
2615-6083,12105,2021-12-11
2581-1584,11452,2021-07-16
0004-5322,2000,2016-11-15
0740-8315,78,2011-01-19
1044-6753,3287,2021-05-11
2155-2185,301,2010-12-17
2178-3284,8312,2021-09-21
1598-8694,19399,2019-08-12
1728-0583,14412,2020-12-21
2182-018X,12278,2021-11-22
1359-4117,311,2020-10-07
0340-6725,297,2007-03-23
2548-0715,3407,2021-03-29
2412-2270,5282,2019-05-24
0363-6917,1121,2006-04-19
2191-995X,5267,2021-04-11
2227-779X,1963,2021-10-27
0211-0547,7473,2021-08-06
2272-9356,2273,2018-12-01
1554-0642,432,2021-11-24
2548-1622,17675,2019-08-31
2104-3833,2273,2020-11-25
1303-734X,3407,2017-01-10
2636-8757,26352,2021-12-26
1553-1392,26794,2021-11-18
1896-3455,9152,2019-08-13
0720-6259,5267,2021-06-24
1738-6675,11433,2021-11-12
2522-5707,297,2020-08-27
0172-1526,311,2020-02-10
2053-6623,4912,2017-07-02
1881-0888,1419,2021-03-23
1142-2904,2399,2021-10-28
2166-8205,3676,2020-07-21
2219-8229,5282,2021-10-22
2620-388X,18967,2021-09-04
1410-9344,10003,2021-08-05
2086-7344,5716,2021-04-28
2579-0854,11151,2021-11-18
2614-5227,21316,2021-09-01
2580-3751,20791,2021-08-11
2477-6106,10756,2021-03-03
2308-7099,32237,2021-11-16
1744-9359,301,2021-09-24
1807-1929,530,2021-11-05
0370-1298,266,2013-12-11
2604-1731,10499,2021-11-08
0100-7467,10685,2021-03-18
2233-8276,3402,2021-10-29
2405-8645,78,2017-12-08
2686-343X,10124,2021-07-16
2211-0658,297,2021-05-12
2572-6641,301,2021-06-04
2623-8934,28700,2021-09-18
2277-9140,4098,2013-06-25
2641-3000,6959,2021-07-13
2521-2621,26414,2021-09-14
2602-2362,12022,2020-02-27
2309-4982,7762,2021-07-20
2007-6835,8596,2021-09-02
1309-6516,3111,2011-06-06
2313-4178,7761,2021-11-23
2328-0441,4945,2021-06-21
2250-155X,10346,2019-07-12
1726-037X,301,2021-09-30
2195-0652,297,2021-03-15
0015-6264,78,2019-08-22
2282-6505,297,2021-06-10
2408-8439,1861,2015-03-26
2238-202X,16580,2021-09-16
2251-8614,9323,2018-03-17
1753-1977,378,2021-07-13
1028-365X,8523,2021-10-08
1743-1670,301,2021-12-26
2079-732X,2725,2021-10-18
2036-0908,2636,2012-10-24
1578-8989,78,2008-10-23
2276-7835,6278,2019-05-01
0239-4278,5855,2021-09-16
0723-7391,297,2013-12-21
1846-5226,3674,2021-11-12
2006-5523,2895,2021-09-17
2155-028X,301,2012-07-17
2154-736X,301,2010-12-18
1534-1828,1121,2014-03-30
1642-4689,4157,2021-09-01
2382-3364,6711,2016-09-30
2523-1634,9587,2021-09-27
2397-1789,297,2019-03-08
0307-5974,301,2016-05-27
2331-9615,5280,2021-05-07
2470-7686,1560,2021-11-08
2222-0682,2060,2021-11-15
1794-9165,6902,2021-06-11
2332-8282,301,2017-10-06
2538-2330,7770,2021-12-25
2088-9968,8471,2021-10-14
1863-2092,297,2018-05-28
2146-5266,9806,2020-11-02
1600-0757,311,2021-10-26
0368-9395,2232,2017-07-03
0341-9320,4498,2019-08-06
1572-0292,297,2021-09-09
1758-8715,378,2021-10-19
2453-8922,5808,2021-11-21
1876-8199,965,2014-04-02
0186-0348,7593,2021-11-19
2383-7101,6443,2021-07-07
2579-0935,11151,2021-09-07
2699-2051,12270,2021-10-21
2627-5996,297,2021-10-19
1516-8492,4419,2021-02-10
1598-0642,8922,2020-01-10
2141-2294,3908,2021-08-26
1566-6379,20105,2021-01-12
2549-6662,9984,2021-12-05
2347-4432,6927,2021-12-26
1572-5545,297,2013-05-21
1636-5410,78,2021-11-25
1975-5740,20619,2021-08-09
2615-3491,32221,2021-08-28
2548-3536,24506,2021-11-01
2386-110X,2473,2021-12-05
2548-9534,26482,2021-09-24
2413-3841,1963,2020-02-15
0043-3675,301,2011-05-12
2523-3564,297,2021-10-29
1694-7916,6583,2021-09-24
1010-8831,2273,2021-06-29
1025-5583,6075,2020-12-01
0303-4216,297,2021-11-03
1476-1300,378,2020-02-08
0352-9568,5943,2021-10-20
2167-4167,5281,2014-04-01
1683-0296,2895,2011-11-28
2308-927X,22926,2021-12-25
1943-0892,179,2013-03-20
2310-6255,5282,2021-10-01
2226-9215,3407,2020-12-12
0082-2884,301,2021-11-22
2713-7104,17215,2021-10-08
2451-0629,3061,2021-08-04
1811-9727,2297,2020-12-31
2655-223X,24724,2021-03-01
1923-1334,8280,2021-10-28
2687-0959,30385,2021-11-24
2580-8338,16305,2021-03-08
2521-7038,374,2021-08-16
0717-6295,4571,2021-08-03
2617-2925,16742,2021-11-24
2231-3281,3062,2019-08-07
2710-1479,28290,2021-09-21
2752-6364,140,2021-11-13
2455-7994,11659,2018-06-18
1917-9685,3884,2021-04-21
2355-3367,22348,2021-08-03
2527-3264,15929,2020-10-29
2345-2609,7770,2021-10-02
2587-9472,9240,2020-04-10
0269-5030,1931,2011-12-16
1097-1467,301,2021-10-29
2339-1847,20191,2021-09-21
2042-2024,8087,2020-05-09
1999-0197,1963,2019-11-22
0720-6720,2101,2016-03-11
2692-398X,301,2021-07-02
2231-6434,6491,2021-06-21
2231-4822,9116,2017-02-16
1872-4078,297,2017-12-02
0723-5097,297,2014-12-17
1065-9293,7822,2005-10-18
0890-5096,297,2013-05-24
2442-7470,17238,2021-09-07
2409-0832,6675,2018-02-19
2579-5767,15119,2021-10-24
1034-7674,67,2014-10-08
2314-4025,98,2017-12-10
2277-5994,4682,2013-02-18
2095-2732,297,2019-12-15
0324-721X,5401,2021-08-05
2640-7809,6959,2021-07-15
1555-788X,6384,2021-05-02
2549-7057,10208,2021-08-14
1841-5164,10944,2021-11-01
0034-7140,530,2014-11-01
2329-5252,311,2018-03-13
1875-7405,50,2021-10-29
1444-6928,179,2021-10-27
2685-6182,10045,2021-11-23
2511-8307,297,2019-02-20
2007-7831,11596,2021-07-05
2469-2980,9225,2019-02-04
2322-4401,17540,2021-10-26
2316-3690,3162,2021-11-22
1300-0845,5775,2021-07-16
2661-8419,297,2020-02-10
1995-8811,22491,2021-02-06
1678-2054,3555,2021-02-24
2089-6549,6946,2018-12-19
1341-9986,3031,2021-09-07
0854-5405,17707,2021-01-26
2498-6984,5965,2021-10-29
1571-5361,297,2021-11-26
2329-1745,4911,2021-09-17
1096-231X,281,2002-07-28
1876-8229,965,2015-03-04
2326-7615,2432,2021-11-01
2074-0948,24990,2021-04-09
0368-3893,250,2007-10-30
2456-6403,25900,2021-11-15
2455-3379,21859,2020-06-13
2181-466X,25071,2020-12-21
0095-8530,3444,2016-01-15
1868-8098,3821,2021-11-12
2312-0274,9096,2021-10-15
1814-9146,17365,2021-11-03
0000-0000,526,2007-06-23
0894-0525,297,2014-03-10
2686-6269,10769,2021-11-05
2312-4970,10901,2020-10-12
2377-231X,6603,2021-11-01
2398-0281,5412,2017-07-21
0368-0797,6550,2021-12-11
2087-5053,17703,2021-08-18
2616-7573,17120,2020-01-28
1874-8805,78,2016-08-03
1089-7089,263,2019-09-11
2327-2945,16423,2021-06-09
2214-1324,50,2021-09-22
1693-8615,16022,2021-05-05
2617-0248,16418,2021-10-15
2163-9159,301,2021-09-15
1755-2923,1748,2021-11-23
2375-3323,4945,2016-03-15
1213-2446,374,2014-05-21
1957-5246,2273,2014-10-20
2542-4971,50,2020-07-01
2471-965X,3176,2021-07-16
2587-1811,17770,2021-09-25
2612-4793,22976,2021-11-05
0987-3260,2273,2021-07-14
0362-5486,78,2011-11-19
1390-7603,10960,2021-07-03
1981-6537,3224,2018-10-02
2661-829X,297,2019-02-23
2314-8349,98,2016-08-18
2474-3585,5410,2021-01-11
2169-348X,2751,2015-01-04
0082-4623,1955,2020-11-21
2303-1565,10905,2021-03-18
2227-247X,2581,2018-02-26
1052-9950,260,2011-09-24
1982-0194,530,2019-12-03
1958-9549,2273,2020-12-19
2469-6706,25091,2021-11-24
2707-451X,20204,2021-11-08
0942-6523,297,2011-12-27
2640-7949,6959,2021-10-27
2151-6227,3084,2016-09-17
0368-6833,1367,2018-07-12
0894-0819,320,2007-06-08
0194-3898,276,2015-11-18
2166-1324,11490,2021-08-06
1555-5887,340,2007-06-07
2576-8387,6672,2019-10-03
2318-3047,4028,2021-10-11
2676-993X,5401,2021-08-05
2599-0187,10056,2021-10-26
1389-1359,297,2020-10-28
1999-0774,1963,2020-02-15
2615-1790,12104,2019-07-05
2355-5572,20648,2021-06-03
2424-8606,7465,2021-03-30
0955-3886,78,2009-03-11
2093-3797,4621,2014-12-22
2722-2012,9292,2021-09-17
2525-1686,10308,2021-10-14
2053-1532,7432,2017-07-12
2510-5035,297,2020-07-24
1334-4684,4647,2021-10-08
2366-8164,26325,2020-10-21
2360-0853,10279,2021-11-22
1607-9906,7766,2021-11-03
1576-5520,23615,2021-01-24
1471-8505,297,2004-10-05
2321-113X,11168,2021-08-12
1390-910X,31348,2021-11-16
1571-0378,297,2020-08-28
1598-6713,21976,2021-09-24
2572-8490,6139,2021-10-13
1804-5383,3846,2021-07-21
2502-4914,10258,2021-10-20
2510-1498,297,2016-12-24
